timeStr,type,overloadTime,homeScore,awayScore,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,profileUrl,isHome,injuredPlayerOut,eventId,fullName,playerId,card,cardDescription,ownGoal,goalDescription,isPenaltyShootoutEvent,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.teamColor,substitution_name,substitution_id,substitution_profileUrl
45,AddedTime,,0,0,+ 3 minutes added,added_injury_time,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Half,,0,0,,,,HT,halftime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Substitution,0.0,0,0,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Fajardo,940334,/players/940334/jose-fajardo
53,Card,,0,0,,,,,,/players/940334/jose-fajardo,True,,14217307.0,José Fajardo,940334.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Card,,0,0,,,,,,/players/1107620/jarell-quansah,False,,14217308.0,Jarell Quansah,1107620.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Goal,,0,0,,,,,,/players/1077894/jude-bellingham,False,,14217309.0,Jude Bellingham,1077894.0,,,,,False,"[0, 1]",,assist by Bukayo Saka,/players/961995/bukayo-saka,961995.0,assist_by,Bukayo Saka,2945634553.0,Goal,8491.0,1077894.0,Jude Bellingham,97.6666666661,35.9825,62.0,,False,True,,,37.05,0.9759999952,0.10270341485738754,0.6466262936592102,LeftFoot,FromCorner,SecondHalf,False,0.19312169312169392,0.2582010569312169,1.0,False,True,531913.0,Jude,Bellingham,Jude Bellingham,#6FA3E6,,,
63,Substitution,0.0,0,1,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djed Spence,894803,/players/894803/djed-spence
63,Substitution,0.0,0,1,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noni Madueke,1084981,/players/1084981/noni-madueke
67,Goal,,0,1,,,,,,/players/194165/harry-kane,False,,14217315.0,Harry Kane,194165.0,,,,Header,False,"[0, 2]",,assist by Jude Bellingham,/players/1077894/jude-bellingham,1077894.0,assist_by,Jude Bellingham,2945635103.0,Goal,8491.0,194165.0,Harry Kane,99.01754385950001,32.3225,67.0,,False,True,,,35.60125,1.9134736748,0.1806560754776001,0.5481765866279602,Header,RegularPlay,SecondHalf,False,0.5763888888888888,0.5062099668783069,1.0,False,True,531913.0,Harry,Kane,Harry Kane,#6FA3E6,,,
71,Substitution,0.0,0,2,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eberechi Eze,818975,/players/818975/eberechi-eze
71,Substitution,0.0,0,2,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismael Díaz,574077,/players/574077/ismael-diaz
71,Substitution,0.0,0,2,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azarías Londoño,1404414,/players/1404414/azarias-londono
83,Card,,0,2,,,,,,/players/688449/andres-andrade,True,,14217337.0,Andrés Andrade,688449.0,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Substitution,0.0,0,2,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Henderson,156008,/players/156008/jordan-henderson
84,Substitution,0.0,0,2,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ollie Watkins,540088,/players/540088/ollie-watkins
88,Substitution,0.0,0,2,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Éric Davis,503710,/players/503710/eric-davis
88,Substitution,0.0,0,2,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Quintero,183088,/players/183088/alberto-quintero
90,AddedTime,,0,2,+ 6 minutes added,added_injury_time,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Half,,0,2,,,,FT,fulltime_short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
