timeStr,type,overloadTime,eventId,homeScore,awayScore,profileUrl,isHome,ownGoal,goalDescription,isPenaltyShootoutEvent,fullName,shortName,playerId,newScore,penShootoutScore,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,shotmapEvent.id,shotmapEvent.eventType,shotmapEvent.teamId,shotmapEvent.playerId,shotmapEvent.playerName,shotmapEvent.x,shotmapEvent.y,shotmapEvent.min,shotmapEvent.minAdded,shotmapEvent.isBlocked,shotmapEvent.isOnTarget,shotmapEvent.blockedX,shotmapEvent.blockedY,shotmapEvent.goalCrossedY,shotmapEvent.goalCrossedZ,shotmapEvent.expectedGoals,shotmapEvent.expectedGoalsOnTarget,shotmapEvent.shotType,shotmapEvent.situation,shotmapEvent.period,shotmapEvent.isOwnGoal,shotmapEvent.onGoalShot.x,shotmapEvent.onGoalShot.y,shotmapEvent.onGoalShot.zoomRatio,shotmapEvent.isSavedOffLine,shotmapEvent.isFromInsideBox,shotmapEvent.keeperId,shotmapEvent.firstName,shotmapEvent.lastName,shotmapEvent.fullName,shotmapEvent.shortName,shotmapEvent.teamColor,card,cardDescription,minutesAddedStr,minutesAddedKey,minutesAddedInput,halfStrShort,halfStrKey,VAR.pendingDecision,VAR.decision.key,VAR.decision.value,addedTime,penalty,VAR,injuredPlayerOut,substitution_name,substitution_id,substitution_profileUrl
98,Card,,14229547.0,1,1,/players/690230/lautaro-martinez,True,,,,Lautaro Martínez,,690230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,,,,
105,AddedTime,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 1 minute added,added_injury_time,1.0,,,,,,,,,,,,
106,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Nicolás Otamendi,174321,/players/174321/nicolas-otamendi
110,Substitution,0.0,,1,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,José López,1216079,/players/1216079/jose-lopez
112,Goal,,14229562.0,1,1,/players/974753/julian-alvarez,True,,,False,Julián Álvarez,,974753.0,"[2, 1]",,assist by José López,/players/1216079/jose-lopez,1216079.0,assist_by,José López,2946946653.0,Goal,6706.0,974753.0,Julián Álvarez,83.2733009712,47.013503181400004,112.0,,False,True,,,31.026249999999997,1.7914736754,0.030631545931100845,0.6079936623573303,RightFoot,RegularPlay,SecondHalfExtra,False,1.7867063492063497,0.47393483476190473,1.0,False,False,764018.0,Julián,Álvarez,Julián Álvarez,,#63addf,,,,,,,,,,,,,,,,,
114,Card,,14229564.0,2,1,/players/1216079/jose-lopez,True,,,,José López,,1216079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,,,,,,,
115,Substitution,0.0,,2,1,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rubén Vargas,860752,/players/860752/ruben-vargas
120,AddedTime,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ 4 minutes added,added_injury_time,4.0,,,,,,,,,,,,
120 + 1,Goal,1.0,14229574.0,2,1,/players/690230/lautaro-martinez,True,,,False,Lautaro Martínez,,690230.0,"[3, 1]",,,,,,,2946948575.0,Goal,6706.0,690230.0,Lautaro Martínez,90.8,34.07625,120.0,1.0,False,True,,,30.797499999999996,0.5714736814000001,0.2811850905418396,0.8562167286872864,RightFoot,FastBreak,SecondHalfExtra,False,1.8472222222222223,0.15118351359788362,1.0,False,True,764018.0,Lautaro,Martínez,Lautaro Martínez,,#63addf,,,,,,,,,,,,,,,,,
120,Half,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AET,afterextratime_short,,,,,,,,,,
